Time,Reporter,Type,Content,Screenshot,RTF Note
27.03.2022 10:05:44,MatiKarczu,(Rapid Reporter version),"1.22.02.28",,
27.03.2022 10:05:44,MatiKarczu,Session Reporter,"MatiKarczu",,
27.03.2022 10:05:44,MatiKarczu,Session Charter,"1",,
27.03.2022 10:05:55,MatiKarczu,Setup,"Uruchomienie mrB3",,
27.03.2022 10:07:30,MatiKarczu,Note,"notatka nr1",,
27.03.2022 10:07:36,MatiKarczu,Note,"Notatka nr 2",,
27.03.2022 10:08:05,MatiKarczu,Test,"rejestracja",,
27.03.2022 10:15:13,MatiKarczu,autogenerated,"screenshot saved",1_20220327_101513.jpg,
27.03.2022 10:15:21,MatiKarczu,autogenerated,"screenshot saved",2_20220327_101521.jpg,
27.03.2022 10:15:27,MatiKarczu,autogenerated,"screenshot saved",3_20220327_101527.jpg,
27.03.2022 10:54:11,MatiKarczu,Session End. Duration,"00:48:27",,
